,Activity,Start_time,End_time,Duration,Hour
0,Sleeping,2010-12-29 21:27:00,2010-12-30 05:24:00,477,21.45
1,Sleeping,2010-12-30 21:33:00,2010-12-31 05:15:00,462,21.55
2,Sleeping,2010-12-31 21:15:00,2011-01-01 05:38:00,503,21.25
3,Sleeping,2011-01-01 21:28:00,2011-01-02 05:56:00,508,21.466666666666665
4,Sleeping,2011-01-02 21:46:00,2011-01-03 06:10:00,504,21.766666666666666
5,Sleeping,2011-01-03 21:46:00,2011-01-04 05:26:00,460,21.766666666666666
6,Sleeping,2011-01-04 21:20:00,2011-01-05 05:03:00,463,21.333333333333332
7,Sleeping,2011-01-05 21:31:00,2011-01-06 05:47:00,496,21.516666666666666
8,Sleeping,2011-01-06 21:45:00,2011-01-07 06:11:00,506,21.75
9,Sleeping,2011-01-07 21:17:00,2011-01-08 05:29:00,492,21.283333333333335
10,Sleeping,2011-01-08 21:53:00,2011-01-09 06:06:00,493,21.883333333333333
11,Sleeping,2011-01-09 21:17:00,2011-01-10 05:42:00,505,21.283333333333335
12,Sleeping,2011-01-10 21:37:00,2011-01-11 05:25:00,468,21.616666666666667
13,Sleeping,2011-01-11 21:18:00,2011-01-12 04:52:00,454,21.3
14,Sleeping,2011-01-12 21:46:00,2011-01-13 05:30:00,464,21.766666666666666
15,Sleeping,2011-01-13 21:16:00,2011-01-14 05:30:00,494,21.266666666666666
16,Sleeping,2011-01-14 21:04:00,2011-01-15 05:00:00,476,21.066666666666666
17,Sleeping,2011-01-15 21:54:00,2011-01-16 06:52:00,538,21.9
18,Sleeping,2011-01-16 21:46:00,2011-01-17 06:42:00,536,21.766666666666666
19,Sleeping,2011-01-17 21:34:00,2011-01-18 05:50:00,496,21.566666666666666
20,Sleeping,2011-01-18 21:13:00,2011-01-19 04:45:00,452,21.216666666666665
21,Sleeping,2011-01-19 21:55:00,2011-01-20 06:22:00,507,21.916666666666668
22,Sleeping,2011-01-20 21:43:00,2011-01-21 05:15:00,452,21.716666666666665
23,Sleeping,2011-01-21 21:26:00,2011-01-22 05:04:00,458,21.433333333333334
24,Sleeping,2011-01-22 21:25:00,2011-01-23 05:58:00,513,21.416666666666668
25,Sleeping,2011-01-23 21:04:00,2011-01-24 05:54:00,530,21.066666666666666
26,Sleeping,2011-01-24 21:33:00,2011-01-25 05:21:00,468,21.55
27,Sleeping,2011-01-25 21:05:00,2011-01-26 05:33:00,508,21.083333333333332
28,Sleeping,2011-01-26 21:12:00,2011-01-27 04:47:00,455,21.2
29,Sleeping,2011-01-27 21:26:00,2011-01-28 04:57:00,451,21.433333333333334
30,Sleeping,2011-01-28 21:09:00,2011-01-29 05:04:00,475,21.15
31,Sleeping,2011-01-29 21:44:00,2011-01-30 06:50:00,546,21.733333333333334
32,Sleeping,2011-01-30 21:51:00,2011-01-31 06:32:00,521,21.85
33,Sleeping,2011-01-31 21:54:00,2011-02-01 06:24:00,510,21.9
34,Sleeping,2011-02-01 21:51:00,2011-02-02 06:12:00,501,21.85
35,Sleeping,2011-02-02 21:38:00,2011-02-03 05:27:00,469,21.633333333333333
36,Sleeping,2011-02-03 21:47:00,2011-02-04 05:22:00,455,21.783333333333335
37,Sleeping,2011-02-04 21:18:00,2011-02-05 05:32:00,494,21.3
38,Sleeping,2011-02-05 21:18:00,2011-02-06 05:50:00,512,21.3
39,Sleeping,2011-02-06 21:06:00,2011-02-07 05:27:00,501,21.1
40,Sleeping,2011-02-07 21:20:00,2011-02-08 05:09:00,469,21.333333333333332
41,Sleeping,2011-02-08 21:20:00,2011-02-09 05:38:00,498,21.333333333333332
42,Sleeping,2011-02-09 21:53:00,2011-02-10 05:57:00,484,21.883333333333333
43,Sleeping,2011-02-10 21:49:00,2011-02-11 05:52:00,483,21.816666666666666
44,Sleeping,2011-02-11 21:38:00,2011-02-12 06:03:00,505,21.633333333333333
45,Sleeping,2011-02-12 21:35:00,2011-02-13 06:27:00,532,21.583333333333332
46,Sleeping,2011-02-13 21:43:00,2011-02-14 07:02:00,559,21.716666666666665
47,Sleeping,2011-02-14 21:13:00,2011-02-15 05:41:00,508,21.216666666666665
48,Sleeping,2011-02-15 21:01:00,2011-02-16 04:41:00,460,21.016666666666666
49,Sleeping,2011-02-16 21:01:00,2011-02-17 05:21:00,500,21.016666666666666
50,Sleeping,2011-02-17 21:58:00,2011-02-18 05:34:00,456,21.966666666666665
51,Sleeping,2011-02-18 21:17:00,2011-02-19 05:38:00,501,21.283333333333335
52,Sleeping,2011-02-19 21:07:00,2011-02-20 05:12:00,485,21.116666666666667
53,Sleeping,2011-02-20 21:03:00,2011-02-21 05:47:00,524,21.05
54,Sleeping,2011-02-21 21:26:00,2011-02-22 05:20:00,474,21.433333333333334
55,Sleeping,2011-02-22 21:49:00,2011-02-23 05:29:00,460,21.816666666666666
56,Sleeping,2011-02-23 21:15:00,2011-02-24 05:02:00,467,21.25
57,Sleeping,2011-02-24 21:21:00,2011-02-25 05:05:00,464,21.35
58,Sleeping,2011-02-25 21:40:00,2011-02-26 05:12:00,452,21.666666666666668
59,Sleeping,2011-02-26 21:30:00,2011-02-27 06:02:00,512,21.5
60,Sleeping,2011-02-27 21:44:00,2011-02-28 06:12:00,508,21.733333333333334
61,Sleeping,2011-02-28 21:14:00,2011-03-01 04:46:00,452,21.233333333333334
62,Sleeping,2011-03-01 21:25:00,2011-03-02 05:13:00,468,21.416666666666668
63,Sleeping,2011-03-02 21:39:00,2011-03-03 05:27:00,468,21.65
64,Sleeping,2011-03-03 21:38:00,2011-03-04 05:14:00,456,21.633333333333333
65,Sleeping,2011-03-04 21:55:00,2011-03-05 05:28:00,453,21.916666666666668
66,Sleeping,2011-03-05 21:26:00,2011-03-06 06:36:00,550,21.433333333333334
